Name,Brand,Colour,Profile,Material,Link,Price
Black grey + White grey + White + Black,tecware,"1 color, multiple color",front,PBT,https://www.lazada.sg/products/tecware-pbt-keycap-set-backlit-shine-through-keycap-sets-111-keys-4-color-options-i1460034008-s6768086439.html,29
Black grey + White grey + White + Black,tecware,"1 color, multiple color",front,PBT,https://shopee.sg/Tecware-PBT-Keycap-Set-Backlit-Shine-through-Keycap-sets-(111-keys)-6-Color-Options--i.283318326.7668868041,29
Black White Red,unbranded,multiple color,front,PBT,https://shopee.sg/SA-Theme-Key-Caps-104-Keyset-Mechanical-Keyboard-Double-Shot-Blacklight-Keycaps-for-Cherry-MX-i.233254872.4018592428,33
Yellow black,KPerpublic,multiple color,front,PBT,https://www.aliexpress.com/item/32851344365.html,54.04
Carbon,unbranded,multiple color,"blank, front, side",PBT,https://shopee.sg/%E2%98%BCMechanical-keycaps-PBT-personality-side-engraving-keyboard-Earl-Red-87-104-108-keys-suitable-for-IKBC-FILCO--i.364031989.9809394794,21.56
Assorted design,unbranded,"design, multiple color",front,PBT,https://shopee.sg/104-key-OEM-PBT-Set-Keycap-Dye-Sublimation-Ukiyo-e-Japan-Manga-Mouse-Pad-For-RK61-GK61-Cherry-MX-Switches-Mechanical-Keyboar-i.258504041.5747371413,27
Dolch,unbranded,multiple color,side,PBT,https://shopee.sg/-SG-Seller--Minimalist-104-Key-PBT-Side-Printed-Keycaps-i.34872941.6937517947,
Black Blue Grey Orange Pink Purple White,unbranded,1 color,front,ABS,https://shopee.sg/-emove-104Pcs-Set-Universal-Ergonomic-Backlit-Key-Cap-Keycaps-for-Mechanical-Keyboard-i.283005694.3242454336,5.69
Many colours but better,unbranded,1 color,front,PBT,https://www.lazada.sg/products/henggu-104pcsset-pbt-universal-backlit-key-cap-keycaps-for-cherry-mechanical-keyboard-i1695321938-s8217919883.html,10.1
Dolch,,,,,,
Dolch,unbranded,,,,,