Name,Done,Due date,Reminder,Status,Subject
set 3m/s pacing,done,"March 30, 2022",,🟢,
example 40,done,"March 31, 2022",,🟢,math
handout 13,done,"March 31, 2022",,🟢,math
appetizer and main dish 💅,done,"March 31, 2022",,🟢,social studies
example 1 - 13,done,"April 4, 2022",,🟢,math
bias padlet,done,"April 4, 2022",,🟢,english
hybrid writing,done,"April 4, 2022",,🟢,english
history question,done,"April 4, 2022",,🟢,history
review diagnostic,done,"April 4, 2022",,🟢,social studies
- example 26,done,"April 5, 2022",,🟢,math
assignment 4,done,"April 5, 2022",,🟢,math
journal bias,done,"April 6, 2022",,🟢,english
mark remaining tys,not done,"April 6, 2022",,🔴,english
timed practices,done,"April 6, 2022",,🟢,social studies
口试,not done,"April 7, 2022",,🟠,chinese
worksheet 15,done,"April 8, 2022",,🟢,computing
landscape ws,not done,"April 8, 2022",,🟠,chinese
personal brand statement (dsa),not done,"April 8, 2022",,🟠,cce
short write up for computing coursework,done,,,🟢,computing
diagnostic test corrections,not done,,,⚪️,chinese
有空来读！,not done,,,⚪️,chinese
transfer social studies notes online,not done,,,⚪️,social studies
calisthenics,not done,,,⚪️,miscellanous
fix microphone with clip!!,not done,,,⚪️,miscellanous
onedrive sync,not done,,,⚪️,